,SEG
1962,0
1963,-3057388
1964,-351153196
1965,-351153168
1966,4532
1967,-11283648
1968,336949520
1969,421026848
1970,-313625168
1971,-54528384
1972,98259160
1973,-1029884
1974,382464432
1975,152924880
1976,-58425512
1977,-453059184
1978,-218119976
1979,-23380211144
1980,-383469688
1981,35609192
1982,264007096
1983,23394282088
1984,456049624
1985,434490240
1986,1778474872
1987,1795079384
1988,446371824
1989,458697688
1990,-1348624056
1991,-1348624056
1992,2170640
1993,1736892208
1994,1736888112
1995,1736879920
1996,-6035624224
1997,-1587682744
1998,-1587666944
1999,-1587653544
2000,6172925864
2001,-6187909720
2002,-6187918552
2003,-6198466584
2004,-6188717384
2005,10445192
2006,7775833344
2007,2784
2008,-11926336
2009,-32397752
2010,-7797804856
2011,6189763176
2012,6200822084
2013,132640
2014,143488
2015,-145669992
2016,-6176033852
2017,6208510768
2018,-55504
2019,154467472
2020,3743320
2021,-6186502128
2022,6053990240
2023,-6196470272
2024,-28706704
2025,-22830960
2026,-4088
2027,16778256
2028,24950440
2029,375488
2030,154587208
2031,-10446728
2032,-24560616
2033,28332440
2034,-6198702688
2035,2080972
2036,28322200
2037,-6106632
2038,-10248048
2039,5710628
2040,-27948104
2041,6101304
2042,372816
2043,-27553064
2044,63376
2045,-3606712
2046,24338864
2047,24193812
2048,-502496
2049,-1760128
2050,-23984144
2051,-4365684
2052,-328640
2053,-23381520
2054,-360272
2055,-19845856
2056,10524336
2057,10546864
2058,6114846712
2059,6147538800
2060,6137770200
2061,-9820176
2062,-6092274512
2063,-6147592016
2064,-6125229744
2065,5456
2066,-21905224
2067,-339712
2068,-23298872
2069,15844736
2070,222416
2071,88608
2072,1041856
2073,6184464552
2074,6209481728
2075,281072
2076,-75280
2077,-102616832
2078,-112822832
2079,85552
2080,-795856
2081,103001608
2082,102693380
2083,-70304
2084,4886032
2085,-6200608928
2086,-6178217700
2087,-985632
2088,17960760
2089,9699600
2090,-22041632
2091,608128
2092,-114936
2093,12189440
2094,22060104
2095,-446800
2096,-22705856
2097,6071441504
2098,-197216
2099,-152251
2100,434173
2101,-49347656
2102,-22328456
2103,6211222061
2104,-123149
2105,-6034279176
2106,22695264
2107,-6200488578
2108,6204729696
2109,6065033640
2110,6150209848
2111,6065012144
2112,-71155408
2113,38257504
2114,-77155800
2115,122151432
2116,-6111176888
2117,-6091094312
2118,9275216
2119,-6197289512
2120,6175350988
2121,6098633392
2122,-48579840
2123,6057363728
2124,13154748
2125,-6120864464
2126,-6056310528
2127,-6057238464
2128,-6210674944
2129,6208842160
2130,6201324744
2131,-59056
2132,4288928
2133,-6184328384
2134,7607040
2135,6200709984
2136,-4405552
2137,-24521104
